date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-08-28,163.3816,164.0886,162.6904,163.8338,1503582,1503582,-0.213326,-0.13,163.6523,"Aug 28, 14",0.10552927259979937
2014-08-29,164.0728,164.4738,163.1,164.0898,2911097,2911097,0.255993,0.156,163.9639,"Aug 29, 14",0.10725672745823242
2014-09-02,164.4141,164.6615,162.9208,163.4584,2679659,2679659,-0.631445,-0.385,163.4512,"Sep 2, 14",0.10299612199880039
2014-09-03,164.1666,164.6445,163.7144,163.7912,1824378,1824378,0.332787,0.204,163.984,"Sep 3, 14",0.10524181331476329
2014-09-04,163.5693,164.4226,162.1784,162.7075,2868754,2868754,-1.0837,-0.662,163.1639,"Sep 4, 14",0.09792914600974811
2014-09-05,162.5795,163.6205,162.204,163.1512,2261215,2261215,0.443721,0.273,163.0229,"Sep 5, 14",0.10092317616868057
2014-09-08,162.7672,163.1512,161.7091,162.2467,2525626,2525626,-0.904501,-0.554,162.1962,"Sep 8, 14",0.09481972726456858
2014-09-09,162.4174,162.7587,161.9395,162.1187,2403631,2403631,-0.127997,-0.079,162.2056,"Sep 9, 14",0.09395599983535197
2014-09-10,162.2296,163.9618,162.2126,163.4413,2765324,2765324,1.3226,0.816,163.2696,"Sep 10, 14",0.1028807334125535
2014-09-11,163.0488,164.4994,162.2296,163.5949,2299390,2299390,0.153592,0.094,163.5637,"Sep 11, 14",0.10391720632761321
2014-09-12,163.3816,163.4925,162.6136,163.2195,2900967,2900967,-0.375449,-0.229,163.0506,"Sep 12, 14",0.10138405572661423
2014-09-15,163.3389,164.252,162.6222,163.6717,2457803,2457803,0.452248,0.277,163.3857,"Sep 15, 14",0.10443544278514307
2014-09-16,163.1939,165.1735,162.8269,164.653,2561528,2561528,0.981294,0.6,164.4379,"Sep 16, 14",0.1110571281467851
2014-09-17,164.8749,165.2333,164.0898,164.5165,3214117,3214117,-0.136525,-0.083,164.6248,"Sep 17, 14",0.11013604381797228
2014-09-18,164.508,165.6514,164.4397,165.3271,2963446,2963446,0.810637,0.493,165.3074,"Sep 18, 14",0.11560586767830751
2014-09-19,166.0012,166.3937,164.8493,165.5404,8854514,8854514,0.213325,0.129,165.7681,"Sep 19, 14",0.11704518846465038
2014-09-22,165.3015,165.6599,164.3714,164.781,3317962,3317962,-0.759439,-0.459,165.0266,"Sep 22, 14",0.11192085557600172
2014-09-23,164.4738,164.7469,163.4243,163.5096,3301797,3301797,-1.2714,-0.772,163.9606,"Sep 23, 14",0.10334161297048695
2014-09-24,162.9805,164.2178,162.0248,164.0984,3082594,3082594,0.58878,0.36,163.2793,"Sep 24, 14",0.10731475914488292
2014-09-25,163.8765,164.2605,161.2483,161.2825,4158816,4158816,-2.8159,-1.716,161.9829,"Sep 25, 14",0.08831343048917345
2014-09-26,161.2142,162.4088,160.9412,162.1784,2494024,2494024,0.895968,0.556,161.8177,"Sep 26, 14",0.09435884770663512
2014-09-29,160.8558,162.0931,160.523,161.8201,2344723,2344723,-0.358387,-0.221,161.4673,"Sep 29, 14",0.09194108569188283
2014-09-30,162.0504,162.4686,159.3881,159.7124,3705432,3705432,-2.1077,-1.302,160.091,"Sep 30, 14",0.07771859895313546
2014-10-01,162.0504,162.4686,159.3881,159.7124,3723192,3723192,0,0,160.091,"Oct 1, 14",0.07771859895313546
2014-10-02,160.1305,160.2329,158.9188,159.4905,2283619,2283619,-0.221858,-0.139,159.5775,"Oct 2, 14",0.07622124648014209
2014-10-03,160.5145,161.5897,160.0452,160.9923,3071521,3071521,1.5018,0.942,160.9851,"Oct 3, 14",0.08635519845824662
2014-10-06,161.8627,162.8867,161.0265,161.3081,2100191,2100191,0.315722,0.196,161.6886,"Oct 6, 14",0.08848617597501673
2014-10-07,160.2244,160.523,158.3215,158.4666,2994065,2994065,-2.8415,-1.762,159.2363,"Oct 7, 14",0.06931210183346398
2014-10-08,158.6884,161.7859,158.3812,161.5811,2985329,2985329,3.1146,1.965,160.4844,"Oct 8, 14",0.09032834463264258
2014-10-09,161.3763,161.7006,158.7908,159.0724,2625609,2625609,-2.5087,-1.553,159.6374,"Oct 9, 14",0.07339996180705273
2014-10-10,158.5946,160.1988,157.9461,158.6543,5090345,5090345,-0.418117,-0.263,159.1633,"Oct 10, 14",0.07057867713396357
2014-10-13,158.2789,159.2687,156.5125,156.5978,3599924,3599924,-2.0565,-1.296,157.8643,"Oct 13, 14",0.056701681366902755
2014-10-14,157.7669,158.4751,156.6576,156.8368,3924974,3924974,0.238925,0.153,157.5071,"Oct 14, 14",0.058314422426143014
2014-10-15,155.6933,156.8282,152.5266,155.0875,6897656,6897656,-1.7493,-1.115,154.5918,"Oct 15, 14",0.04651037248920183
2014-10-16,153.4236,154.8571,152.4764,153.4577,5578683,5578683,-1.6298,-1.051,153.6432,"Oct 16, 14",0.03551269308188068
2014-10-17,154.6523,156.0176,153.782,155.3435,4354442,4354442,1.8858,1.229,155.1601,"Oct 17, 14",0.04823782734763488
2014-10-20,142.369,145.3437,142.2368,144.2932,23416511,23416511,-11.0503,-7.113,144.2291,"Oct 20, 14",-0.026328166488860123
2014-10-21,141.9893,142.2283,137.9617,139.2844,20953605,20953605,-5.0089,-3.471,139.2766,"Oct 21, 14",-0.06012690045338932
2014-10-22,138.5847,141.1446,137.4668,138.0556,11091424,11091424,-1.2288,-0.882,139.0432,"Oct 22, 14",-0.068418683773868
2014-10-23,138.3372,138.943,137.8423,138.3884,7600270,7600270,0.332787,0.241,138.3978,"Oct 23, 14",-0.0661729924579051
2014-10-24,138.3031,138.6103,137.7655,138.3031,6652379,6652379,-0.085327,-0.062,138.1158,"Oct 24, 14",-0.06674858581503135
2014-10-27,138.2348,139.0113,138.0727,138.1239,4989437,4989437,-0.179194,-0.13,138.4253,"Oct 27, 14",-0.06795780421593454
2014-10-28,138.2348,139.6001,138.0641,139.6001,7896863,7896863,1.4762,1.069,138.7962,"Oct 28, 14",-0.057996597723673306
2014-10-29,140.223,140.4662,138.8833,139.4806,4741689,4741689,-0.119462,-0.086,139.6582,"Oct 29, 14",-0.058802968253293335
2014-10-30,139.5148,140.4705,139.1052,140.2401,3895979,3895979,0.759438,0.544,139.8508,"Oct 30, 14",-0.053677960577590576
2014-10-31,141.2043,141.2982,139.6142,140.2827,5818375,5818375,0.042665,0.03,140.024,"Oct 31, 14",-0.0533905012925545
2014-11-03,140.1547,140.4022,139.4081,140.2486,4690274,4690274,-0.034133,-0.024,139.9821,"Nov 3, 14",-0.053620603677994184
2014-11-04,140.2315,140.2486,138.4396,138.7894,4247079,4247079,-1.4591,-1.04,139.0983,"Nov 4, 14",-0.06346709637106264
2014-11-05,139.199,139.5489,137.8594,138.0812,4104747,4104747,-0.708236,-0.51,138.2375,"Nov 5, 14",-0.06824593828802472
2014-11-06,138.5624,138.7772,137.5056,138.717,4067641,4067641,0.635806,0.46,138.3292,"Nov 6, 14",-0.06395564219821315
2014-11-07,138.6827,139.3587,138.1929,139.2411,3494803,3494803,0.524078,0.378,138.9048,"Nov 7, 14",-0.06041908324780409
2014-11-10,139.095,141.303,138.8459,140.4611,4958236,4958236,1.22,0.876,140.6575,"Nov 10, 14",-0.05218668118808409
2014-11-11,140.6415,140.8133,139.6964,140.2978,3535694,3535694,-0.163238,-0.116,140.3398,"Nov 11, 14",-0.05328860844738918
2014-11-12,139.4215,140.0401,138.9748,139.1122,3378229,3378229,-1.1856,-0.845,139.3136,"Nov 12, 14",-0.0612888837605072
2014-11-13,139.181,139.8683,139.0091,139.8597,3239726,3239726,0.747456,0.537,139.498,"Nov 13, 14",-0.056244850531293494
